CHEMBL_ID,Molecular Weight,SMILES,Standard Type,Standard Relation,STANDARD_VALUE,Standard Units,STANDARD_VALUE_LN,STANDARD_VALUE_LOG,TYPE,TYPE_LABEL,AlogP,NumHAcceptors,NumHDonors,NumRotatableBonds,FractionCSP3,TPSA,LogP_WildmanCrippen
CHEMBL4468894,519.64,[2H]C([2H])([2H])Oc1cc(OCc2nc(N3CCOCC3)sc2C)c2cc(-c3cn4nc(OC([2H])([2H])[2H])sc4n3)oc2c1,T1/2,'=',0.19,hr,-1.660731207,-0.721246399,unstable,0,4.4,12,0,10,0.347826087,96.38,4.40172
CHEMBL502335,320.42,COc1ccc2nc(SCc3ccc4ccccc4c3)[nH]c2c1,T1/2,'=',0.19,hr,-1.660731207,-0.721246399,unstable,0,5.02,3,1,5,0.105263158,37.91,5.017
CHEMBL4483601,516.62,[2H]C([2H])([2H])Oc1cc(OCc2nc(N3CCOCC3)sc2C)c2cc(-c3cn4nc(OC)sc4n3)oc2c1,T1/2,'=',0.1933,hr,-1.643511893,-0.713768146,unstable,0,4.4,12,0,10,0.347826087,96.38,4.40172
CHEMBL3808993,480.57,Cc1cc(CCC#N)cc(C)c1Oc1cc(Nc2ccc(C#N)cc2)c(N)cc1COC(=O)C1CC1,T1/2,'=',0.195,hr,-1.63475572,-0.709965389,unstable,0,6.2,7,2,12,0.275862069,121.16,6.2026
CHEMBL4102592,585.52,NS(=O)(=O)c1cc(-c2nnc(CNS(=O)(=O)c3ccc(Cl)cc3)o2)c(Cl)cc1SCc1ccccc1,T1/2,'=',0.1967,hr,-1.626075554,-0.70619564,unstable,0,4.46,8,2,10,0.090909091,145.25,4.4616
CHEMBL4483498,516.62,[2H]C([2H])([2H])Oc1nn2cc(-c3cc4c(OCc5nc(N6CCOCC6)sc5C)cc(OC)cc4o3)nc2s1,T1/2,'=',0.1967,hr,-1.626075554,-0.70619564,unstable,0,4.4,12,0,10,0.347826087,96.38,4.40172
CHEMBL1087964,357.88,CCCN(CCCNc1ccnc2cc(Cl)ccc12)Cc1ccoc1,T1/2,'=',0.1967,hr,-1.626075554,-0.70619564,unstable,0,5.2,4,1,10,0.35,41.3,5.1954
CHEMBL2019026,256.33,Nc1ccc2[nH]c(SCc3ccccn3)nc2c1,T1/2,'=',0.1992,hr,-1.613445934,-0.700710666,unstable,0,2.83,4,2,4,0.076923077,67.59,2.8324
CHEMBL1091715,588.71,C[C@@H]1COCCN1c1nc(-c2ccc(NC(=O)Nc3ccc(OCCN(C)C)cc3)cc2)nc(N2C3CCC2COC3)n1,T1/2,'=',0.2,hr,-1.609437912,-0.698970004,unstable,0,3.72,10,2,12,0.483870968,117.21,3.7157
CHEMBL602495,543.71,CC(C)OC(=O)C1=CN(C(=O)c2ccc(OCCCN3CCCCC3)cc2)CC(C)(C)c2c1[nH]c1ccccc21,T1/2,'=',0.2,hr,-1.609437912,-0.698970004,unstable,0,6.15,5,1,12,0.454545455,74.87,6.1488
