CHEMBL_ID,Molecular Weight,SMILES,Standard Type,Standard Relation,STANDARD_VALUE,Standard Units,STANDARD_VALUE_LN,,STANDARD_VALUE_LOG,,TYPE,TYPE_LABEL
CHEMBL3919907,392.52,CC1C[C@H]2C3=CC=C(c4cncc(F)c4)[C@@]3(C)CC[C@@H]2[C@@]2(C)CCNC(=O)C=C12,T1/2,'=',0.01667,hr,-4.094144582,,-1.7780644,,unstable,0
CHEMBL3967361,392.52,C[C@]12CC[C@H]3[C@@H](C4CC4C4=CC(=O)NCC[C@@]43C)[C@@H]1CC=C2c1cncc(F)c1,T1/2,'=',0.01667,hr,-4.094144582,,-1.7780644,,unstable,0
CHEMBL3904390,390.57,CC(=O)N[C@@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC=C(c5cccnc5)[C@@]4(C)CC[C@@H]32)C1,T1/2,'=',0.01667,hr,-4.094144582,,-1.7780644,,unstable,0
CHEMBL3901214,390.57,CC(=O)N[C@@H]1CC[C@@]2(C)C(CC[C@H]3C4=CC=C(c5cccnc5)[C@@]4(C)CC[C@@H]32)C1,T1/2,'=',0.01667,hr,-4.094144582,,-1.7780644,,unstable,0
CHEMBL3891870,388.56,C[C@]12CC[C@H]3[C@@H](CC4(CC4)C4=CC(=O)NCC[C@@]43C)[C@@H]1CC=C2c1cccnc1,T1/2,'=',0.01667,hr,-4.094144582,,-1.7780644,,unstable,0
CHEMBL3949325,388.56,CC(=O)N[C@@H]1CC[C@@]2(C)C(=CC[C@H]3C4=CC=C(c5cccnc5)[C@@]4(C)CC[C@@H]32)C1,T1/2,'=',0.01667,hr,-4.094144582,,-1.7780644,,unstable,0
CHEMBL3889967,385.52,C[C@]12CC[C@H]3[C@@H](CC(F)[C@]4(O)C[C@@H](O)CC[C@]34C)[C@@H]1CC=C2c1cccnc1,T1/2,'=',0.01667,hr,-4.094144582,,-1.7780644,,unstable,0
CHEMBL3928725,385.52,C[C@]12CC[C@H]3[C@@H](CC(F)[C@@]4(O)C[C@@H](O)CC[C@]34C)[C@@H]1CC=C2c1cccnc1,T1/2,'=',0.01667,hr,-4.094144582,,-1.7780644,,unstable,0
CHEMBL3893647,383.96,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CC=C2c1cncc(Cl)c1,T1/2,'=',0.01667,hr,-4.094144582,,-1.7780644,,unstable,0
CHEMBL3940899,383.55,C[C@]12CC[C@H]3[C@@H](CCC4C[C@](C)(O)CC[C@@]43C)[C@@H]1CC=C2c1cncc(F)c1,T1/2,'=',0.01667,hr,-4.094144582,,-1.7780644,,unstable,0
CHEMBL3948650,383.48,C[C@]12CC[C@H]3[C@@H](CC(F)C4=CC(=O)CC[C@@]43C)[C@@H]1CC=C2c1cncc(F)c1,T1/2,'=',0.01667,hr,-4.094144582,,-1.7780644,,unstable,0
CHEMBL3984933,381.56,COc1cncc(C2=CC[C@H]3[C@@H]4CC[C@H]5COCCC[C@]5(C)[C@H]4CC[C@]23C)c1,T1/2,'=',0.01667,hr,-4.094144582,,-1.7780644,,unstable,0
CHEMBL3961920,381.56,COc1cncc(C2=CC[C@H]3[C@@H]4CC[C@H]5CCOCC[C@]5(C)[C@H]4CC[C@]23C)c1,T1/2,'=',0.01667,hr,-4.094144582,,-1.7780644,,unstable,0
CHEMBL3904331,380.53,CN1C(=O)COC[C@@]2(C)C1CC[C@H]1[C@@H]3CC=C(c4cccnc4)[C@@]3(C)CC[C@@H]12,T1/2,'=',0.01667,hr,-4.094144582,,-1.7780644,,unstable,0
CHEMBL3953572,380.51,C[C@]12CC[C@H]3[C@@H](CC(F)C4=CC(=O)NCC[C@@]43C)[C@@H]1CC=C2c1cccnc1,T1/2,'=',0.01667,hr,-4.094144582,,-1.7780644,,unstable,0
CHEMBL3925399,379.59,CC[C@]1(O)CC[C@@]2(C)C(CC[C@H]3[C@@H]4CC=C(c5cccnc5)[C@@]4(C)CC[C@@H]32)C1,T1/2,'=',0.01667,hr,-4.094144582,,-1.7780644,,unstable,0
CHEMBL3900678,379.54,Cc1cncc(C2=CC[C@H]3[C@@H]4CC[C@H]5COC(=O)CC[C@]5(C)[C@H]4CC[C@]23C)c1,T1/2,'=',0.01667,hr,-4.094144582,,-1.7780644,,unstable,0
CHEMBL3979844,379.54,COc1cncc(C2=CC[C@H]3[C@@H]4CC(=O)C5CCCC[C@]5(C)[C@H]4CC[C@]23C)c1,T1/2,'=',0.01667,hr,-4.094144582,,-1.7780644,,unstable,0
CHEMBL3936145,378.6,CCc1cncc(C2=CC[C@H]3[C@@H]4CCN5CCCCC[C@]5(C)[C@H]4CC[C@]23C)c1,T1/2,'=',0.01667,hr,-4.094144582,,-1.7780644,,unstable,0
CHEMBL3897253,378.56,Cc1cncc(C2=CC[C@H]3[C@@H]4CCN5C(=O)CCCC[C@]5(C)[C@H]4CC[C@]23C)c1,T1/2,'=',0.01667,hr,-4.094144582,,-1.7780644,,unstable,0
CHEMBL3926991,378.56,CC1C[C@H]2[C@@H]3CCC(c4cccnc4)[C@@]3(C)CC[C@@H]2[C@@]2(C)CCNC(=O)C=C12,T1/2,'=',0.01667,hr,-4.094144582,,-1.7780644,,unstable,0
CHEMBL3914413,378.52,COc1cncc(C2=CC[C@H]3[C@@H]4CC=C5N(C)C(=O)C[C@]5(C)[C@H]4CC[C@]23C)c1,T1/2,'=',0.01667,hr,-4.094144582,,-1.7780644,,unstable,0
CHEMBL3899790,378.49,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)NCC[C@@]43C)C1=CC=C2c1cncc(F)c1,T1/2,'=',0.01667,hr,-4.094144582,,-1.7780644,,unstable,0
CHEMBL3912639,377.5,CC1C[C@H]2C3=CC=C(c4cncc(F)c4)[C@@]3(C)CC[C@@H]2[C@@]2(C)CCC(=O)C=C12,T1/2,'=',0.01667,hr,-4.094144582,,-1.7780644,,unstable,0
CHEMBL3974227,377.5,C[C@]12CC[C@H]3[C@@H](C4CC4C4=CC(=O)CC[C@@]43C)[C@@H]1CC=C2c1cncc(F)c1,T1/2,'=',0.01667,hr,-4.094144582,,-1.7780644,,unstable,0
CHEMBL3927194,376.54,CC1C[C@H]2[C@@H]3CC=C(c4ccncc4)[C@@]3(C)CC[C@@H]2[C@@]2(C)CCNC(=O)C=C12,T1/2,'=',0.01667,hr,-4.094144582,,-1.7780644,,unstable,0
