,epoch,train_RMSE,valid_RMSE,test_RMSE,t1/2_difference,train_r2,valid_r2,test_r2
0,1,1.6144551427271274,1.6152372580040963,1.5489516552931737,0.44310598465196976,-0.335870035618486,-0.37708069996786187,-0.27231872308176674
1,2,1.8022274793463446,1.8035392806339297,1.8623043931314478,1.265019541676897,-0.6265520955912043,-0.6269276161467048,-0.7923214015458073
2,3,1.4104786723328575,1.4024580715885453,1.4932339707369913,0.40781338283967244,-0.028794675278265937,-0.04147996339570585,-0.17819552986829354
3,4,0.5985941482905573,0.6352449160936999,0.9133796042693245,0.3883184796499112,0.8101152264208012,0.7808892027614165,0.5681254909656611
4,5,0.3482001805250742,0.4158434592309,0.8518635909553789,0.42048030630743793,0.9389939811160378,0.9128313648845989,0.6261509688588514
5,6,0.3106074004280518,0.3589730625180644,0.8561724248093086,0.3676185074686256,0.9503512283873384,0.9343292118714073,0.6224835622847603
6,7,0.2816839435573951,0.33438052761228,0.8574672698949826,0.3894640577072565,0.9598805341564199,0.9416861174666475,0.6214382964701285
7,8,0.25041622147179915,0.29453255976585246,0.851794914229002,0.35760263432627354,0.9685459715127485,0.9556032471901561,0.6264454126478325
8,9,0.22432493787571106,0.26860331295553636,0.8442944157791011,0.3728986065504381,0.9747719107202661,0.9619927460138274,0.6330559831520727
9,10,0.22522041475655968,0.2872180090817235,0.84182802571717,0.38590965798448884,0.9746791693784645,0.9572648201476657,0.6350996759389889
10,11,0.2772016347669319,0.35567571077593374,0.8489316997270248,0.3720866736527317,0.9575916133798602,0.9243192386044452,0.6286257264512475
11,12,0.19828982597778738,0.25247316133982994,0.8077696128921865,0.34641357101432696,0.9798701316656512,0.9624729451609986,0.6640612479567596
12,13,0.19412708534556827,0.25057451852208534,0.8393782393267244,0.3666306009515511,0.9808038610888717,0.9646730214652586,0.6372434070455041
13,14,0.21539908959764684,0.29105946275941097,0.8137590740739451,0.35262633023122986,0.975177267468799,0.9506640251241276,0.6591255491393255
14,15,0.16848073065947947,0.2124039519250871,0.8177000503318774,0.35056592628739935,0.9857246713203687,0.9745543377015418,0.6557874543246308
15,16,0.18939756685400563,0.25401152871581095,0.8292257804172369,0.3522315585442996,0.9800977858361918,0.9588452430062192,0.6458494209882786
16,17,0.16472826028641832,0.2236115741407103,0.8205948075312627,0.3504916926457905,0.9856142812530388,0.9701829926136444,0.6533562179441864
17,18,0.15201369122555547,0.18498573214045583,0.8198950744731475,0.3659470828225642,0.9883886998833293,0.981303250522689,0.6539564826962679
18,19,0.17215434867219853,0.22478635244216,0.8164039321395167,0.33482979743209806,0.982622074979248,0.9668642161261177,0.656847175643821
19,20,0.14223609675503343,0.19959508027208572,0.81896540321501,0.33466810446600104,0.9896655762101967,0.977857973575146,0.654632776961706
20,21,0.13086972151924697,0.1669506099524505,0.8142454880063772,0.33960003888477874,0.9913825078436783,0.9844608781670898,0.6586752524133219
21,22,0.14122306416995098,0.20073843484190954,0.8184424440665984,0.3534707113721935,0.9898033759944177,0.9739461263493947,0.6551795262147024
22,23,0.12723042558534634,0.17819270404729814,0.8101912100186149,0.3272868587945587,0.9917998419573889,0.9814605669897041,0.6620986459939526
23,24,0.12485856350218269,0.17304918477685843,0.8065025758431892,0.3420912508025204,0.9921742426515439,0.9821338412780989,0.6651123327997303
24,25,0.12018033290674919,0.16634131883981507,0.8093281172767414,0.34238632559092963,0.9927736208191404,0.9838944004937666,0.662816075420477
25,26,0.12489245237302318,0.16981978836937167,0.8083825098905855,0.3450023157572719,0.9921221174036724,0.9828622534739335,0.6636111920617026
