,epoch,train_RMSE,valid_RMSE,test_RMSE,t1/2_difference,train_r2,valid_r2,test_r2
0,1,1.3477240127528067,1.3616146302373264,1.3386100550624669,0.5626028479122086,0.07763170819864218,0.04821496100192797,0.0613625310239587
1,2,1.6454063419397489,1.6590101941372226,1.7837453333101283,0.8993683911898205,-0.352353599890015,-0.3851857695500574,-0.6426193383722922
2,3,1.1397196941739787,1.1520535661656353,1.298122437702689,0.36895457094075684,0.32951288062264866,0.2999726114928415,0.10799875664974552
3,4,0.6076460517484873,0.6669841837840705,0.9073202747777886,0.3602588307981499,0.8132072823521235,0.7691876419967091,0.575180822532265
4,5,0.44594182165919277,0.5153575232433806,0.9038718376149941,0.36189419244852394,0.8998177950515436,0.8652647409767645,0.5781126623760272
5,6,0.32615962968686274,0.3827777655955743,0.8281468312422204,0.3742879054043731,0.9468512261784854,0.9253611294498043,0.6467030963408436
6,7,0.3395852151562204,0.38376071695208924,0.8217876796078901,0.3325616918702355,0.9412955972971926,0.9241745314797475,0.6523365585803589
7,8,0.2921262922833857,0.3461116122672622,0.8417036730625373,0.3565518181488651,0.9573455262881323,0.938190757196903,0.6351971110736098
8,9,0.2896033363679645,0.32946793976397476,0.8660869090832681,0.34071761109354426,0.9563040999097645,0.9441484652345112,0.6126340466185232
9,10,0.25511850718997126,0.3192670294220591,0.8388817624709427,0.34977563984778426,0.9669932055597723,0.9452171563744571,0.637688519227375
10,11,0.2711668743513302,0.30036850332298387,0.8491985909108972,0.3357780564262004,0.9621199286304808,0.9506411276124395,0.6277831075000451
11,12,0.29192036615218464,0.3453721566012562,0.8646484856319342,0.3643738922962599,0.9562131642485256,0.9379905242864979,0.6148689109205587
12,13,0.2069628673458374,0.24574716702545757,0.8595372425032284,0.3432003629113866,0.9781045306659613,0.9668299933584926,0.6194355392502124
13,14,0.2619496566303558,0.31803062118413605,0.8434858072069462,0.35694559928053166,0.9621398721143455,0.9371525149128127,0.6337029670588334
14,15,0.20750330103419162,0.24457599066812477,0.8210106417229728,0.335268589390325,0.9775145439963759,0.9651187644303679,0.652811129999575
15,16,0.20085465733422744,0.25946013551133573,0.8359032326721032,0.3369588002068644,0.9787124784824955,0.9612004857512995,0.6400363667186211
16,17,0.22419604647153907,0.2774379026843513,0.8220658270956023,0.3764474989846593,0.9734140938452404,0.9567307305953339,0.6518483575523134
17,18,0.18183467893412764,0.23802737264728568,0.7970963357466088,0.3264530488840162,0.9824582454016635,0.9704161884220903,0.672904000777027
18,19,0.18616618721073103,0.21528172418295588,0.8102336193397403,0.3642760478985348,0.982457533238153,0.9757446587159588,0.6619475299114683
19,20,0.1490653679062376,0.202668367884354,0.8047811942962282,0.3375405598886927,0.9887672742803362,0.9771658932194678,0.6665920488577863
20,21,0.18158110735826763,0.2246092593807482,0.8055398078046153,0.3603037470867352,0.982923452589028,0.9724410459897553,0.6658833164079422
21,22,0.16146725656961453,0.2017367463642116,0.8129724471156707,0.3314889073949918,0.9862627483192282,0.9776239413085381,0.6597344138226983
22,23,0.15963266101416237,0.2109546243955498,0.81235003712705,0.3304034453719342,0.9868741136148861,0.9744610387434177,0.6602529618290974
23,24,0.14861124336104542,0.18197937338645426,0.8121351167820192,0.33375297002349863,0.9887377680045599,0.9819758816507098,0.6604395195336787
24,25,0.158854485841581,0.19483304652162836,0.8064676086027239,0.34216439927499975,0.9867360008991245,0.9772585899538013,0.6651961483398955
25,26,0.13619772721651896,0.17871170243337736,0.8152570609341291,0.346096770023852,0.9905054331620592,0.9820293034735063,0.6578017801992676
26,27,0.13822476273640005,0.1705263951466264,0.8067094369998065,0.33565824394345495,0.9903612679505749,0.9836960673576964,0.6649729329398328
27,28,0.13720892051873929,0.18165354929855407,0.805289141423413,0.3302984233341913,0.9902780926936977,0.9817447558162054,0.6661500891068916
28,29,0.15867545175769998,0.19750079458721392,0.8191028575642475,0.3606238090008583,0.9861891435381483,0.9793767005573232,0.654548490401857
29,30,0.1363449300673278,0.169699128893016,0.8073595356513849,0.32763734979643183,0.9901457308602033,0.9843204879202405,0.6644620771838201
30,31,0.14155610531682888,0.1673366678092248,0.8020770345923628,0.316577452235551,0.9893868527305294,0.9844621469374062,0.6688133358095552
