"smiles	half_life	cluster_label	group	half_life(min)"
"Cc1cc(/C=C/C#N)cc(C)c1Oc1cc(Nc2ccc(C#N)cc2)c(N)cc1CO	-0.68981939	13	13.1	30.10000001"
"CCOc1cc(NC(=O)C2(NC(=O)c3ccc4c(C5CCCC5)c(-c5ncc(Cl)cn5)n(C)c4c3)CCC2)ccc1/C=C/C(=O)OCCN1CCCC1	0.348541961	13	13.2	85.02000002"
"CCCC(=O)NS(=O)(=O)c1ccc(C(CC2CCCC2)C(=O)Nc2nc3ccc(OC)nc3s2)cc1	-3.305796297	24	24.1	2.2002"
"CSc1nc2ccccn2c(=N)c1S(=O)(=O)c1ccc(F)cc1	-2.962877937	24	24.1	3.100199999"
"CC(C)OC(=O)C1=CN(C(=O)c2cccc(OCCN3CCCCC3)c2)CC(C)(C)c2c1[nH]c1ccccc21	-2.484946651	24	24.2	4.999799998"
"CCC(=O)N1CCC(NC(=O)c2cc3cc(Cl)ccc3[nH]2)C(NC(=O)c2nc3c(s2)CN(C)CC3)C1	-2.289668868	24	24.5	6.077999998"
"O=C(N[C@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccncc1)c1ccc(N2CCN(c3cccc(C(F)(F)F)c3)CC2)cc1F	-2.015153052	24	24.6	7.997999998"
"Clc1cccc(COc2cncc(N3CCNCC3)n2)c1	-2.015153052	24	24.3	7.997999998"
"O=C(N[C@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccncc1)c1ccc(N2CCN(c3cccc(Cl)c3Cl)CC2)cc1F	-1.897119985	24	24.6	8.999999999"
"CS(=O)(=O)Nc1ccc2c(c1)S(=O)(=O)N=C(c1c(O)c(N3CCCC3)nn(CCC3CC3)c1=O)N2	-1.897119985	24	24.1	8.999999999"
"CC(C)CCN1CCN(C(=O)c2ccc3[nH]c(=O)c4c(c3c2)CCSC4)CC1	-1.328025453	24	24.2	15.9"
"C=CC(=O)NCc1coc(-c2c(N)ncnc2Nc2ccc(F)c(Cl)c2)n1	-1.321630848	24	24.4	16.002"
"c1nc(N2CCCCC2)c2cc[nH]c2n1	-1.321630848	24	24.4	16.002"
"C[C@@H]1COCCN1c1nc(-c2ccc(NC(=O)Nc3ccc(N4CCN(C)CC4)cc3)cc2)nc(N2C3CCC2COC3)n1	-1.203972804	24	24.3	18.00000001"
"CC1=C2C[C@H]3[C@@H](CC[C@@H]4C[C@@H](O)CC[C@]34C)[C@@H]2CC[C@@]2(C1)O[C@@H]1C[C@H](C)CN[C@H]1[C@H]2C	-1.098712294	24	24.7	19.99799999"
"CN1C/C=C/CCOc2cccc(c2)-c2ccnc(n2)Nc2cc(cc(NC(=O)C(F)(F)F)c2)C1	-1.049822124	24	24.5	21.00000001"
"C[C@H]1CN(c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cccc3F)n2)C[C@@H](N)[C@@H]1O	-0.958937307	24	24.5	22.99799999"
"CC(C)CCn1nc(-c2cccs2)c(O)c(C2=NS(=O)(=O)c3cc(N(C)S(C)(=O)=O)ccc3N2)c1=O	-0.762068626	24	24.1	28.002"
"O=C(N[C@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccncc1)c1ccc(-c2ccc(F)c(Cl)c2)cc1F	-0.762068626	24	24.5	28.002"
"C[C@]12CC[C@H]3[C@@H](CC[C@H]4NC(=O)C=C[C@]34C)[C@@H]1CC[C@@H]2C(=O)NC1(C(F)(F)F)CC1	0.641853886	24	24.7	114"
