,fold_train_history,fold_valid_history,fold_test_history,fold_train_loss,fold_valid_loss,fold_test_loss
0,0.44036328883217835,0.4306420019644171,0.335029047648501,1.0536941917976284,1.0614394033396142,1.103757348597034
1,0.7556521532513047,0.7358292438281575,0.5185620840068605,0.6988821719445466,0.7262171970250126,0.9433272667030355
2,0.9029723864624669,0.8926927281369309,0.5916899085750739,0.4409096645926297,0.4618366863645466,0.8692730957847724
3,0.9467509100125936,0.93632329085639,0.5930457970454256,0.3254073036762301,0.3536360306470065,0.8677649550961023
4,0.9796439536583597,0.972920204615383,0.6064272337127393,0.20135223817260234,0.23134922041375466,0.8534690888981273
5,0.9881455395177007,0.9842240856129427,0.6056408274080975,0.1524842842498738,0.17746033906622405,0.8542115800673995
6,0.99545779881909,0.9926848427766337,0.5965882955955962,0.09525989945773984,0.12030399531031374,0.8640857751833477
7,0.9969339009097709,0.9953953113902848,0.5985604981153262,0.0776297508096943,0.09482732408313223,0.8619764655660731
8,0.9978090843092225,0.996596892688326,0.5933522314768719,0.06605522415288004,0.08192823317910355,0.8675371791569816
9,0.9978583221528261,0.9972545818480709,0.5934403920743891,0.06421459489038964,0.07352063844144151,0.8674606035160268
10,0.9989926750356153,0.9986225212326545,0.5929951487416532,0.044328465560206774,0.05194564062701819,0.8679335558017371
11,0.9988589843402961,0.9986246619184266,0.5949401451065992,0.04598590106482501,0.051319858438884716,0.8658470491281467
12,0.9989654155935644,0.9988344229927844,0.5975177979260826,0.04153172731731389,0.04602634977972952,0.8630926411111496
13,0.999402602421265,0.9992027420848959,0.5953143063486179,0.033561401052208034,0.03973932506863676,0.8654570207476047
14,0.9992129043387831,0.999130887294444,0.593269936331349,0.03705259147751423,0.03950709872946862,0.8676335698954857
15,0.9991990686985168,0.9991205382289697,0.5953591775995548,0.034262499433321505,0.038160779144951515,0.8654056258199286
16,0.9997334166646731,0.9996731482203256,0.597892606911242,0.022633748481969244,0.02532392930664646,0.8626980735421605
17,0.9996566608077966,0.9995952415691916,0.6021462395808586,0.02515073411158043,0.027937697499313664,0.8581230173002957
18,0.9997134728643242,0.9996453166363806,0.6000261611402524,0.023065997315474325,0.02560024633202293,0.8604068580287914
19,0.999851978038096,0.9998079422365285,0.6020470369350811,0.01712111877390751,0.019599773644669666,0.8582320680837011
20,0.9996284540067965,0.9996166977540117,0.6048005473940608,0.026422732499789957,0.02710754569207498,0.8552490639623945
21,0.999716215050334,0.9996955927571504,0.6016096391192395,0.02300732345226727,0.024016648244054965,0.8587026792098611
22,0.9997725312783514,0.9997186206486367,0.6038805475563448,0.02067569306730669,0.023604973395993607,0.8562512772416835
23,0.999794615396197,0.9997745960824462,0.6057631000416165,0.02020566123226466,0.021157601531978897,0.8542125845843836
24,0.9997364814710072,0.999712991419847,0.6056139480622557,0.022316168724680372,0.0230682122423333,0.8543769030908879
25,0.9999210076553011,0.9999049754721229,0.606498758545278,0.012525260107401046,0.013837457265792375,0.8534180180588302
26,0.9997208556026871,0.9997075452724442,0.6059902811659228,0.022481232312811968,0.022875049620294872,0.853967804823791
27,0.9998575625311623,0.9998318108825883,0.607351213872518,0.015748002920702407,0.017421237977892513,0.8524934567945003
28,0.9998605697783182,0.9998519620336197,0.6081335132144848,0.016001396435985304,0.016659088325738616,0.8516430475318101
29,0.9998225085205661,0.9998202633363006,0.6091433962319079,0.017797629523409998,0.01855921848121636,0.8505451194514073
