,epoch,train_RMSE,valid_RMSE,test_RMSE,t1/2_difference,train_r2,valid_r2,test_r2
0,1,1.623456944158302,1.6317178077331824,1.587738294423421,0.43995776263282654,-0.3838803689640392,-0.44828897299039544,-0.3664069392582863
1,2,1.5666636581569406,1.5642182157722058,1.6102067886362015,0.5771707490270219,-0.22860421453507543,-0.22589753446281252,-0.339464980905248
2,3,1.184837432242997,1.1849509534650706,1.2371590260555065,0.4558555051487977,0.27946643542136146,0.27211509407592366,0.19580865152400728
3,4,0.6236251443716466,0.682295339543828,0.93509057567521,0.3995546512892722,0.8026996607806041,0.7605568247861909,0.5493405009508657
4,5,0.43846951331166545,0.49715146638734176,0.9213754708003782,0.3795409319384885,0.9022527557585333,0.870103540987734,0.5623201956673635
5,6,0.3418531611981736,0.4022342824482795,0.8854254957287713,0.42024800917961685,0.9384177267026516,0.9131438443156792,0.5955027221551435
6,7,0.2817619621236319,0.3347063274438346,0.8769273360842217,0.3717050814327227,0.9599197255740837,0.9400785557782025,0.603944041791585
7,8,0.3128774308424146,0.38889631593506335,0.8740527143517927,0.3706092879450631,0.9495671297917422,0.9215878981581227,0.6065903677668928
8,9,0.27519557528238225,0.33941479622102294,0.8571624974512115,0.35405328450543977,0.9611596776585749,0.940497123335853,0.6216292617061502
9,10,0.2951662893767826,0.3536116507850122,0.8630358320029432,0.3703168906207985,0.9543032411163411,0.9292129415787518,0.6164925207372454
10,11,0.25921148303365327,0.29732092781113756,0.8169914379061078,0.326023582047699,0.9649265841106066,0.9484350992084953,0.6562753895908771
11,12,0.24858944388079154,0.3160706460378694,0.8344598889078467,0.32570528967551227,0.9679729077748551,0.945391577720402,0.6414058835879516
12,13,0.23177594271695057,0.2684665906319484,0.8348741924814057,0.3312330999793304,0.9724579146161026,0.962040357284024,0.6409180188520901
13,14,0.20001158273467387,0.25728220696558723,0.8319404485201666,0.35429485485586926,0.9797850690770907,0.961176143684885,0.6435100183961847
14,15,0.22219900508803683,0.26894799092589083,0.8373334971097828,0.35891616867022363,0.9744244875738806,0.9579529322999731,0.6390053087812625
15,16,0.22773008387175603,0.2788976745835211,0.8331939433347075,0.3463664986664563,0.9734664792725232,0.9560562650084021,0.6425876625759999
16,17,0.18005075678700852,0.22064521153142597,0.807614096523374,0.3567553784506132,0.983351844466567,0.9732506635749486,0.664137444605345
