,epoch,train_RMSE,valid_RMSE,test_RMSE,t1/2_difference,train_r2,valid_r2,test_r2
0,1,1.6085198332949726,1.6103021882647113,1.509064328096386,0.4382699415175094,-0.3242198649927245,-0.3631560481538297,-0.20604512588888033
1,2,1.905569980456319,1.9247164026012498,2.0062722469364145,1.589844278391801,-0.8332996561908782,-0.8601091604277695,-1.096048021433952
2,3,1.8174232576069838,1.7938685304945792,1.9006012402761214,0.5782868864624922,-0.6873760406033723,-0.6716715860795176,-0.9079885207463659
3,4,0.6661085733216355,0.691583380510336,0.9739976428796829,0.4286697994155664,0.7654360503388112,0.7435731498351245,0.5068914541877749
4,5,0.295792317045296,0.3738064964800455,0.846907034978136,0.3419990113869564,0.9560868839041458,0.9281972561441032,0.6307787163686275
5,6,0.3184187350571366,0.3739255852062028,0.8591955596907427,0.35250797641860215,0.9489302593883456,0.9300177150581161,0.619711393352841
6,7,0.2920036858523676,0.33323077770327636,0.8613886924949842,0.33575336386948534,0.9566757889909543,0.9432326550366603,0.6177988630076225
7,8,0.2577019928351143,0.3043406642404448,0.8270249535418509,0.3217806623037964,0.9658732918453149,0.9512320103689905,0.6478968710790507
8,9,0.2628903770188949,0.31430038077159406,0.8432852521237664,0.3839479613582549,0.9642391416921108,0.9464971654004868,0.6337512855303554
9,10,0.20047772289380528,0.25439427048530044,0.8389374746046461,0.35637895707537814,0.9794876852317017,0.9641854380669009,0.6376187095764725
10,11,0.2530078194265889,0.3142430812113044,0.8589469861421707,0.3805340914788434,0.9665597590424027,0.9472416740975278,0.6200357737984521
11,12,0.18460461594330235,0.22917984076895412,0.8583197858657877,0.3577096096873213,0.9823295014386597,0.9708328484026504,0.620353489690589
12,13,0.2825408899952337,0.35850865278942007,0.854851153013432,0.3551018741319072,0.9560613914162273,0.9248766992878149,0.6237009793964212
13,14,0.16251380002489282,0.20567492334017196,0.8390794479108159,0.34948453620274894,0.9864696524901595,0.9767579319228401,0.6375451569054518
14,15,0.23594352895083254,0.3153227126643362,0.8611371301700161,0.3507736264221899,0.9679250248890667,0.9362164358971284,0.6180259571970322
15,16,0.18486287971951693,0.24497585024915636,0.8480141694978052,0.36378821658584026,0.9796231259632441,0.9629301841495886,0.6298082170452918
16,17,0.1830490680049412,0.23014057398216464,0.8278584918344695,0.3204436865606897,0.981853068392045,0.9688810267015725,0.647073121738169
17,18,0.1718603487621388,0.23034932233285588,0.8441911776648533,0.3665633259172249,0.9839298988100114,0.968871204965889,0.633101825512574
18,19,0.15441249214929878,0.21104744524124852,0.8459043625069012,0.31764345726016735,0.9876393112693881,0.9759811702539949,0.6316492948150225
19,20,0.14796540815783202,0.19276301083800454,0.8540404017048762,0.328527831330303,0.988656928910005,0.9801442690655178,0.6245365109536711
20,21,0.13662422436281274,0.19836133945244386,0.8477909223586716,0.34583692029618246,0.9904926419385713,0.9767662037544925,0.6300069116141923
21,22,0.14622561388318972,0.19862085773381538,0.8352170562525563,0.3505348802402791,0.9886449591069034,0.9798903934874102,0.6408336946859716
22,23,0.13640261520309657,0.16218588885569185,0.8446896294359363,0.33066135248412787,0.9904600616109205,0.9855709770878288,0.6327331453047969
23,24,0.16152050827832065,0.2066379747089994,0.8370192669818411,0.32836004422473253,0.9846034467203545,0.9728836540204725,0.6393602426005787
24,25,0.13941485573411985,0.1759973255460004,0.8430579796801909,0.3313722684982291,0.9896895859317925,0.9832122157801646,0.6341339275425412
25,26,0.13033367214022618,0.15493060229502578,0.8352085777029442,0.32929759795509045,0.9912149870965108,0.9869089466711154,0.6408260184878145
26,27,0.13901040511945997,0.17745676840254848,0.8243141533122718,0.3170016428323948,0.9894959610527353,0.9800914110889838,0.6501917909366485
27,28,0.1288329995968574,0.16694002307595412,0.8366586777227966,0.31576777981214676,0.9914172445174934,0.9848396493733013,0.6396232134233584
28,29,0.12539001555998525,0.1541181627115921,0.830718262838723,0.3161069621431344,0.9918552250711385,0.9871314745528151,0.6447671393174739
29,30,0.11318851281462958,0.1441820643715532,0.8379333175960351,0.3208491651262764,0.9935946064698076,0.9881905514301051,0.6385404637613533
30,31,0.11900476881849839,0.15318239640758555,0.8412064780119204,0.3193381229975096,0.9925451176053613,0.9873280740440412,0.6357305927556898
31,32,0.10917133203338773,0.13495024646301404,0.8366890659141774,0.3151156752732675,0.9940003591286561,0.9900327679102862,0.6396352159241812
